;
"Umsätze Depot ";"Zeitraum: 01.11.2014 - 04.11.2019";

"Buchungstag";"Geschäftstag";"Stück / Nom.";"Bezeichnung";"WKN";"Währung";"Ausführungskurs";"Umsatz in EUR";
"09.10.2019";"07.10.2019";"2.071";"LYX.MSCI WORLD U.ETF D";"LYX0AG";"EUR";"193,07";"399,84";
"09.10.2019";"07.10.2019";"0.372";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"281,85";"104,85";
"10.09.2019";"09.09.2019";"2.056";"LYX.MSCI WORLD U.ETF D";"LYX0AG";"EUR";"194,52";"399,94";
"10.09.2019";"09.09.2019";"0.37";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"283,69";"104,96";
"28.08.2019";"27.08.2019";"1";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"271,40";"283,80";
"08.08.2019";"07.08.2019";"2.186";"LYX.MSCI WORLD U.ETF D";"LYX0AG";"EUR";"182,97";"399,97";
"08.08.2019";"07.08.2019";"0.4";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"262,31";"104,92";
"09.07.2019";"08.07.2019";"2.052";"LYX.MSCI WORLD U.ETF D";"LYX0AG";"EUR";"194,88";"399,89";
"09.07.2019";"08.07.2019";"0.383";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"273,98";"104,93";
"10.06.2019";"07.06.2019";"2.138";"LYX.MSCI WORLD U.ETF D";"LYX0AG";"EUR";"187,02";"399,85";
"10.06.2019";"07.06.2019";"0.407";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"257,92";"104,97";
"08.05.2019";"07.05.2019";"2.104";"LYX.MSCI WORLD U.ETF D";"LYX0AG";"EUR";"190,09";"399,96";
"08.05.2019";"07.05.2019";"0.391";"MUL-LYX.MSCI W.ITTRUE AEO";"LYX0GP";"EUR";"268,32";"104,91";
